category,stat,unit,rank,player,team,value
Passing,Passing Yards,yards,1,Passer A,KC,4812
Passing,Passing Yards,yards,2,Passer B,BUF,4655
Passing,Passing Yards,yards,3,Passer C,CIN,4501
Passing,Passing Yards,yards,4,Passer D,MIA,4388
Passing,Passing Yards,yards,5,Passer E,DET,4290
Passing,Passing TDs,touchdowns,1,Passer A,KC,41
Passing,Passing TDs,touchdowns,2,Passer C,CIN,38
Passing,Passing TDs,touchdowns,3,Passer B,BUF,35
Passing,Passing TDs,touchdowns,4,Passer F,BAL,33
Passing,Passing TDs,touchdowns,5,Passer D,MIA,31
Rushing,Rushing Yards,yards,1,Rusher A,BAL,1743
Rushing,Rushing Yards,yards,2,Rusher B,SF,1602
Rushing,Rushing Yards,yards,3,Rusher C,DET,1544
Rushing,Rushing Yards,yards,4,Rusher D,GB,1489
Rushing,Rushing Yards,yards,5,Rusher E,PHI,1451
Rushing,Rushing TDs,touchdowns,1,Rusher C,DET,16
Rushing,Rushing TDs,touchdowns,2,Rusher A,BAL,15
Rushing,Rushing TDs,touchdowns,3,Rusher E,PHI,13
Rushing,Rushing TDs,touchdowns,4,Rusher F,HOU,12
Rushing,Rushing TDs,touchdowns,5,Rusher B,SF,11
Receiving,Receiving Yards,yards,1,Receiver A,MIN,1656
Receiving,Receiving Yards,yards,2,Receiver B,CIN,1571
Receiving,Receiving Yards,yards,3,Receiver C,MIA,1498
Receiving,Receiving Yards,yards,4,Receiver D,LAR,1442
Receiving,Receiving Yards,yards,5,Receiver E,DAL,1399
Receiving,Receiving TDs,touchdowns,1,Receiver B,CIN,14
Receiving,Receiving TDs,touchdowns,2,Receiver F,KC,12
Receiving,Receiving TDs,touchdowns,3,Receiver A,MIN,11
Receiving,Receiving TDs,touchdowns,4,Receiver C,MIA,10
Receiving,Receiving TDs,touchdowns,5,Receiver D,LAR,9
Defense,Sacks,sacks,1,Rusher-D A,CLE,17.5
Defense,Sacks,sacks,2,Rusher-D B,DAL,15.0
Defense,Sacks,sacks,3,Rusher-D C,PIT,14.5
Defense,Sacks,sacks,4,Rusher-D D,SF,13.0
Defense,Sacks,sacks,5,Rusher-D E,NYJ,12.5
Defense,Interceptions,interceptions,1,DB A,GB,8
Defense,Interceptions,interceptions,2,DB B,BAL,7
Defense,Interceptions,interceptions,3,DB C,HOU,6
Defense,Interceptions,interceptions,4,DB D,LAC,6
Defense,Interceptions,interceptions,5,DB E,PHI,5
